问题提出时间,问题描述,解决过程,解决过程.1
2023-12-19 10:43:00,关于充电器故障的问题，经过一周观察，目前没有问题。想了解原因是否可能是主板和风扇兼容性不佳等？客户表示更换红色框和蓝色框的两块板子后，充电桩已恢复正常充电，且替换板子后的充电器也正常工作，现场有两个充电桩都能正常充电。客户怀疑是否是基板与线缆接触不良导致。,客服确认客户通过更换板子已解决问题后，解释肉眼无法判断具体原因，也无需补发配件。客服指出根据客户描述，基板与线缆接触不良可能为问题原因，并建议客户继续观察。,
2023-12-19 11:05:00,请求在当日12:15-12:30（日本时间）之间重新安装Redis，并提供了TeamViewer连接信息。,客服收到请求并确认连接后，通知客户需重启电脑。待客户确认并重启电脑后，客服通知客户已完成操作，并请客户进行观察。,
2023-12-26 12:25:00,客户咨询双电机大型车辆选择4BB或4B8哪个版本更合适，随后请求将版本更改为4BB。之后，客户再次提出将另外11台车辆也升级到4BB版本。,客服告知客户选择4BB版本。客户提出稍后进行升级，待客户再次联系后，客服分两批次对共12台车辆进行了版本升级，并提示客户进行随机运行检查。,
2023-12-26 13:54:00,客户现场（牙医项目）机器人停用两月后首次通电，大部分机器人电量耗尽无法启动，请求安装一个常规RCS进行紧急充电，因手动操作量大，希望能尽可能抢救机器人。,客服首先确认机器人是否能开机，并获取TeamViewer连接。客服指导现场人员找到部分机器人进行紧急充电，并修改地图。针对无法脱离充电桩和霍尔板异常的机器人（159105，159001，159028），客服进行了系统操作和指导，将其移出系统，并建议校准霍尔板或返修。针对系统电量普遍偏低问题，客服在与客户沟通后延长了紧急充电时间。最终，客服确认机器人电量充足后进行了关机处理。,
2023-12-27 09:18:00,客户询问收到数据设备编号错误的原因，并提供了塔灯闪烁的视频。,客服初步判断提示可能是设备离线导致。在客户确认塔灯闪烁后，客服要求提供闪烁的格口名称。当客户告知所有灯已熄灭后，客服根据日志分析，判断塔灯闪烁可能由WES控制，与当前日志无关，建议客户从WES侧进行调查。,
2023-12-27 12:44:00,请求将双电机大型车辆版本更改为4BB。,客服收到请求后，确认客户现场可操作，随即进行了版本升级，并通知客户升级完成。,
2023-12-27 13:53:00,托盘电机出现异常，咨询是否需要拆开AGV外壳检查电缆连接。,客服建议客户查看电机指示灯是否正常闪烁。客户自行操作托盘升降后，电机恢复正常。客户决定暂时观察，若再次发生则作为故障机处理。客服表示了解并接受该处理方案。,
2023-12-27 14:16:00,客服观察到客户电脑的Redis存在问题，可能导致RCS运行异常或启动缓慢。客户后续询问问题是否为Redis设置错误并影响RCS。,客服向客户了解其Redis安装方式，并在客户的配合下进行了两次电脑重启测试，以排查Redis问题。测试后RCS恢复正常。客服解释Redis报错属于集群模式，不影响单机模式使用，并再次询问Redis安装方式以了解额外的服务程序来源，以便后续分析。,
2023-12-27 15:34:00,客户反馈AGV启动缓慢（有时需10分钟），且错误日志中存在大量CAN错误，询问解决方案。,客服询问机器人运行时的报错情况及启动时长。客服建议客户在机器人长时间未启动时记录ID，并要求客户提供相关日志进行分析。经初步日志分析，客服未发现异常长时间间隔。客服建议客户进一步确认上位系统（WES）的日志，以获取更详细的信息，以便深入调查。,
2023-12-28 13:49:00,请求为一个场地安装灯条软件并配置，指定为单色塔灯且由RCS控制格口关闭，并提供了一个系统ID。,客服确认场地ID并等待RCS升级完成。在客户提供电源盒IP后，客服发现无法ping通，怀疑是连接问题或防火墙设置。经沟通确认客户方IT管理防火墙，客服与现场配合，首先对B系统进行灯条程序配置、IP设置。在解决灯条连接问题并注册12个灯条后，进行横向依次亮灯测试，并控制塔灯测试，确认B系统灯条正常。随后，客服与现场配合，对A系统进行同样操作，解决第7、8个灯条之间连接断开问题，完成注册并测试亮灯和塔灯，确认A系统灯条也准备完毕。,
2023-12-28 16:02:00,请求检查充电器RCH001872的充电错误问题，客户已自行通电并测量，并反馈充电时显示红色，且所有AGV在该充电器上充电均出现相同错误。,客服询问充电曲线情况，并要求客户提供充电桩卡嘴照片。客户补充提供了充电时输入电压超过100V及测量电压为5V的信息。由于现场操作已结束，具体问题未能进一步诊断，客服表示需进一步确认机器人电压情况。,
2023-12-29 14:45:00,客户咨询满包传感器响应时间，以及在哪里可以查看此设置。,客服告知客户满包传感器默认响应时间为2秒，并指出该设置可在灯条程序的配置文件中查看，具体对应十六进制数值。客户确认设置为默认值，并表示会告知客户。,
2023-12-29 14:59:00,客户在使用A系统备用机（hot standby）切换时，AP能连接但无法连接机器人，重启RCS AP后虽能连接AP但找不到小车，且Redis状态异常。,客服判断Redis异常可能导致RCS启动缓慢，并指出由于主机和备机使用相同IP地址，切换后需重启网络交换机或AP以更新MAC地址缓存。在客户尝试重启AP并反馈无果后，客服指导客户将两个电源盒同时断电30秒后再通电。操作后机器人连接恢复正常。客服进一步解释了两个电源盒需要同时断电的原因：它们是主从关系，且切换电脑后会有IP/MAC缓存残留，需要同时断电才能重新连接。,
2024-01-04 08:43:00,请求设置RCS，使其能显示“全投入口闭”选项，因B系统有此功能而A系统没有。,客服初步判断可能是停车区不足导致该选项不显示，并建议客户自行确认此情况。,
2024-01-04 14:44:00,客户反馈AGV全车断电操作失败，询问是否AGV偏离PVC地垫中心会导致RCS断电操作失败。,客服解释机器人是否在地毯上不影响关机操作。根据客户提供的图片，客服推测是机器人本身无法开机导致关机失败，并进一步说明机器人即使不在地毯中心也能开机，只是服务可能无法启动。,
2024-01-04 14:52:00,客户现场约15台AGV电量耗尽，想了解原因。客户反馈自动开机功能在29日正常启动，但30日有启动失败的历史。,客服要求客户提供29日和30日的Logs及RAPIDS Core Service_log目录下的日志进行分析。根据日志，客服识别出两台特定机器人（144150和125236）在日志中显示关机失败和开机失败。客户反馈其中一台霍尔板问题已通过重置修复，但未能确认两台机器人是否曾手动关机，或是否存在干扰其他通道的可能性。问题原因最终归结为霍尔板异常。,
2024-01-04 15:39:00,请求补发约一个月前更换的148015和145218机器人的霍尔板。,客服收到客户请求补发霍尔板的部件请求后，确认了需求，并表示会提交申请。,
2024-01-05 09:33:00,双电机大型车辆（141088）出现错误，客户表示该机器人位于地垫上但位置与地图不符。,客服初步判断无法与该机器人通讯，需要拆开检查。客服指导现场人员打开RCS，检查BMS-P板和无线模块。在确认BMS-P板正常后，建议客户将故障机器人的无线模块与正常机器人对换进行排查。更换后，机器人恢复正常，确认问题原因为无线模块故障。客服表示将与内部确认配件补发事宜。,
2024-01-09 10:06:00,客户询问约一个月前检查的充电器故障，目前没有错误，看起来没有问题，请求客服确认。,客服询问客户是否遇到新问题，客户澄清目前无问题，只是根据要求告知现状。客服确认无异常可继续使用，客户表示感谢并接受。,
2024-01-09 12:43:00,客户询问某个“案例”的问题原因。,客服要求提供机器人进入充电桩时的电压情况以进行查看。此问题可能为持续性或更广泛问题的初步查询，后续无直接解决过程显示，但可能与后续机器人去停车区问题相关联。,
2024-01-10 11:37:00,使用满包传感器的现场再次发生卸货时商品溢出的问题，原因是传感器突然判断为“Empty”。客户进一步说明设置为单个点位感应即满，且从“Full”到“Empty”切换时料框未移动。,客服要求提供车服和灯条日志，并询问涉及的料口名称和坐标。客服请求现场协助遮挡灯条进行测试，以查看程序响应。客户多次尝试协助但受现场作业影响，客服根据日志初步诊断为灯条未检测到料框导致误报空包并卸货。客服工程师表示需时间考虑测试方案。客户提出延长满包判断时间的建议，但客服认为不妥，因可能导致真实满包时上报延迟。问题最终转为需待工程师提供进一步测试方案，并安排灯条固件升级。,
2024-01-11 13:07:00,"SRC现场报告，在空箱状态下灯条亮起，大约在11:15左右，发生在A013料口，坐标（18,8）。请求客服确认传感器是否有感知历史记录。",客服查看日志，发现11:14:02收到灯条满包亮塔灯，11:19:06离线，11:19:25恢复上线并检测为空。客户解释是空箱时灯条点亮，后手动拔插电缆恢复。客服请求视频确认现象，客户表示无视频，但承诺再发生时会尝试拍照或录制视频，以便客服判断环境因素。,
2024-01-12 10:55:00,客户询问双电机皮带输送机图中红色框内部分的型号。,客服提供了大致型号ACC001314，但指出绿色皮带和白色皮带型号不同，并提供了汇总物料号ACC000816。因图纸信息未完全明确，客服表示会重新提供图纸以确保信息准确。客户已获取所需型号信息。,
2024-01-15 16:24:00,客户询问固件升级所需的时间。,客服确认了升级的场地，并在客户确认可以停止作业后，立即进行了固件升级。升级完成后，客服提醒客户在次日作业时留意异常检测情况，并保留现象以便进一步排查。,
