故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
地面车异常,直行偏航角度过大,,地面车 219167 区域急停,地面车 219167 区域急停 Robot: 219167 has experienced,1.小车直行后偏航。怀疑是打滑，因为定位没有丢，也没有外力碰撞,"1.拷贝日志；
2.根据雷达图调整小车到最近的魔毯上；
3.重定位后恢复。"
地面车异常,区域急停,,249021区域紧急停止,"项目名称：流山UA
报警消息:FloorBot 249021区域紧急停止机器人:249021区域锁定，坐标:43，63，错误代码:234，说明目的地地图信息获取失败发生。",工人操作失误，在箱子上晃动了下导致车子认为箱子拿掉了出发的时候又去拿了下箱子,地面车操作界面自动校准点击已解决
客户操作,,,发生了区域锁定,"地面车 249021 区域急停 ロボット: 249021 エリアロックが発生しました、座標: 43,63、エラーコード: 234、説明 目的地マップ情報取得失敗",1.人员误触小车触发区域急停,"决策 
1.调整小车到地毯中心，确认触发到rfid后重定位；
2.点击已解决。"
客户操作,,,"推箱->货架  飞箱: 106005 箱位: (A010)06-027.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 106005 箱位: (A010)06-027.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高,"1.降低飞箱联系现场人员调整箱内物料高度；
2.确认人员撤出后，点击终止启动后恢复；"
客户操作,,,地面车 219166 区域急停 Robot: 219166 has experienced,地面车 219166 区域急停 Robot: 219166 has experienced,1.工作人员，按压地面车导致转弯后角度偏移,"1.调整小车到地毯中心，确认触发到rfid后重定位；
2.点击已解决。"
地面车异常,区域急停,,发生了区域锁定,"地面车 219253 区域急停 机器人: 219253 发生了区域锁定,坐标: 23,30,错误码: 21C,描述激光雷达避障急停,检查并复位",1.工作人员误触雷达导致触发急停,1.重定位后点击已解决恢复。
飞箱异常,接驳位偏移量异常,,101043推箱失败,"项目名称：流山UA
报警消息：トート押込む->棚
Air Rob:101043位置:（A043）08-021
跑步位置：11",根据监控判断箱位偏移量过高导致推箱失败11号离线,设定偏移量降低2mm手动将料箱推入箱位终止启动推入箱位
飞箱异常,TOF异常,,"拉箱<-货架  飞箱: 101107 箱位: (A108)10-027......调整位置的次数超过10次,调整拉箱位置失败","拉箱<-货架  飞箱: 101107 箱位: (A108)10-027......调整位置的次数超过10次,调整拉箱位置失败",1.fof识别后飞箱校准次数超过十次导致调整失败,"1.记录现场问题日志；
2.终止启动后恢复；"
飞箱异常,接驳位偏移量异常,,101010拉箱失败,"项目名称：流山UA
报警消息：トート引出す<-棚
Air Rob:101010位置:（A011）00-038
拉机拉箱失败，钩组件无法向后拉100mm",飞箱报错原因是拉箱时箱子卡在横梁导致无法拉出，第一次尝试终止启动恢复操作失败，第二次操作查看货架图修改偏移量可以解决,打开货架图修改（A011）00-038偏移量为0初始值为-0.009终止启动点击已解决恢复
飞箱异常,接驳位偏移量异常,,拉箱<-货架   飞箱: 101010 箱位: (A011)00-038..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 101010 箱位: (A011)00-038..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,,"1.第一次终止启动失败，抓钩脱落，调整位置偏移量；
2.终止启动后恢复；"
硬件,分拣机,其它,机器人堵车,机器人堵在格口不卸货,73和96分拣机报错导致了机器人堵在这两个口不卸货,现场运维重启修复分拣机后恢复正常
飞箱异常,TOF异常,,"拉箱<-货架  飞箱: 101107 箱位: (A108)10-042......调整位置的次数超过10次,调整拉箱位置失败","拉箱<-货架  飞箱: 101107 箱位: (A108)10-042......调整位置的次数超过10次,调整拉箱位置失败",1.tof识别异常导致调整位置失败,"1.拷贝tof日志和飞箱日志；
2.任务终止启动后恢复。"
飞箱异常,料箱传感器异常,,地面车没有识别到料箱,飞箱:104022地面车:80099补推3次后，地面车箱传感器检测不到,未知,手动重新推箱，点已解决
地面车异常,区域急停,,230226区域急停,230226在空箱出库之后，不自动发车，显示还有箱子，手动模式后可以离开但是机器人上还是显示有箱子，要去空箱上架，并且无任何撞车的情况下急停三次,已反馈研发待分析原因,临时手动模式后，重定位恢复正常，RCS显示有箱子的问题，删除机器人重新添加
飞箱异常,其它,,101043推箱失败,104043推箱失败,,上导轨下侧箱位，降低位置后手动推入正常
飞箱异常,其它,,飞箱读不到箱号,飞箱:104042 读不到箱号,未知,终止启动飞箱，点已解决
软件,MCS,,MCS系统离线,MCS系统离线,车服界面也是显示离线，检查MCS电脑防火墙是否打开,客户防火墙打开了，关闭防火墙 重启MCS软件恢复正常
软件,RCS,,RCS下层界面白屏,RCS下层界面白屏,内存不足导致的,让客户不分拣的时候重启电脑即可
客户操作,,,"推箱->货架  飞箱: 106001 箱位: (A001)03-025.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 106001 箱位: (A001)03-025.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高,联系客户解决物品超高后，终止启动恢复
客户操作,,,"推箱->货架  飞箱: 106002 箱位: (A003)16-011.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高","推箱->货架  飞箱: 106002 箱位: (A003)16-011.........推箱失败,箱子重新拉回拉箱机,请人工检查箱内物品是否超高",物品超高,联系客户处理物品超高，然后终止启动恢复
飞箱异常,TOF异常,,"推箱->地面车  飞箱: 106003 地面车: 219181.......推箱到地面车,车上有箱","推箱->地面车  飞箱: 106003 地面车: 219181.......推箱到地面车,车上有箱",TOF异常检测到小车托盘上有料箱,手动修改接驳位偏移量，之后终止启动后恢复
飞箱异常,TOF异常,,104005 拉箱失败,请解决:拉箱<-货架飞箱:104005 箱位:(A005)08-029No rumning position:9目标:2.0实际:363.9,箱子靠立柱太近导致tof数据判断不准确导致箱子倾斜卡在拉箱机上，已经对接给研发这个问题,将倾斜箱子通过操作飞箱操作界面恢复箱子终止启动点击已解决
飞箱异常,料箱脱钩,,No running position,拉箱<-货架   飞箱: 106001 箱位: (A001)09-029..........No running position:9 目标:2.0实际:340.3,"异常现象：拉箱机拉箱子时，箱子卡到拉箱机一般位置没出来
推测：箱子位置不正，拉箱机拉箱子一般时，箱子卡主进不去，导致报错",飞箱操控界面手动将箱子重新推回箱位，然后重新终止启动后恢复
飞箱异常,TOF异常,,"拉箱<-货架  飞箱: 106002 箱位: (A004)17-010......两侧边沿值差值太大,L=4256,R=4269","拉箱<-货架  飞箱: 106002 箱位: (A004)17-010......两侧边沿值差值太大,L=4256,R=4269","异常现象：拉箱机脱钩，箱子位置偏移
推测：可能是TOF判断箱子边沿出现偏差",手动操控飞箱拉箱机将箱子摆正后，终止启动恢复
客户操作,,,No running position,拉箱<-货架   飞箱: 106001 箱位: (A001)04-015..........No running position:9 目标:2.0实际:153.8,飞箱超高导致没有拉出,1.推回料架后，终止启动
飞箱异常,TOF异常,,106001拉箱卡住,拉箱<-货架   飞箱: 106001 箱位: (A001)04-015..........No running position:9 目标:2.0实际:329.3,怀意是tof测量料箱位置不正确，导致拉箱的时候卡住了,手动把料箱推回货架，然后终止任务，启动任务，恢复。
地面车异常,区域急停,,205110 区域急停,"地面车 205110 区域急停 机器人: 205110 发生了区域锁定,坐标: 5,20,错误码: 234,描述Destination no navigation positioning",小车偏航角度过大已经对接给研发，需要重新校准霍尔板，校准完成后待观察,地面车操作界面点击自动校准点击已解决恢复
飞箱异常,TOF异常,,拉箱<-货架  飞箱: 106001 箱位: (A001)15-044......其中一侧没找到边,拉箱<-货架  飞箱: 106001 箱位: (A001)15-044......其中一侧没找到边,1.一侧tof扫到立柱，导致tof识别异常,"1，拷贝飞箱日志；
2.终止启动任务后，点击已恢复。"
硬件,机器人,霍尔板,机器人爆红色,机器人爆红色切正常运行,报错信息是4446无描述，能正常运行，如果客户介意的话需要更换霍尔板,"需要更换霍尔板，这个不影响使用的话可以不用管，不影响现场生产
"
飞箱异常,TOF异常,,"拉箱<-货架  飞箱: 106002 箱位: (A004)17-010......两侧边沿值差值太大,L=4257,R=0","拉箱<-货架  飞箱: 106002 箱位: (A004)17-010......两侧边沿值差值太大,L=4257,R=0",1.tof识别到立柱导致报错；,1.终止启动后任务恢复。
硬件,分拣机,电梯板,小车不投货,小车不向48号机投货，LCD屏显示离线,"1.插到电梯板的网线不亮，尝试重新插拔，换网口都无效
2.更换网线还是不行
3.重启分拣机后恢复正常",更换网线重启分拣机后正常，观察后续是否还会出现
硬件,其它,,韩国三星客户发货口RFDI感应不灵敏,客户商品放上小车，不能及时感应，需要手动将商品抬高，反复试探。,感应距离及强度都不够,调整IMPINJ感应器功率为31.5（询问厂家31.5功率为最大值）
飞箱异常,TOF异常,,拉箱<-地面车 飞箱: 106002 地面车: 219187............两侧都没找到边,拉箱<-地面车 飞箱: 106002 地面车: 219187............两侧都没找到边,,"1.拷贝日志；
2.终止启动后恢复；"
飞箱异常,TOF异常,,106002拉箱失败,"拉箱<-货架  飞箱: 106002 箱位: (A003)17-025......两侧边沿值差值太大,L=11130,R=11195",远程上去研发已经处理，箱子箱子之间靠的太近tof测量数据不准确,终止启动点击已解决
飞箱异常,TOF异常,,101043 飞箱拉箱失败,"拉箱<-货架  飞箱: 101043 箱位: (A044)09-032......调整位置的次数超过10次,调整拉箱位置失败",1、飞箱到达箱位后，TOF识别左右移动调整多次后，未校准成功，导致报错,"1、读取飞箱日志、TOF日志
2、终止任务—启动任务—已解决（恢复正常）
3、问题反馈给肖"
飞箱异常,TOF异常,,"推箱->地面车  飞箱: 106001 地面车: 219170.......推箱到地面车,车上有箱","推箱->地面车  飞箱: 106001 地面车: 219170.......推箱到地面车,车上有箱",1.地面车没箱，飞箱传感器判断车上有箱；,"1.拷贝日志；
2.飞箱终止启动后恢复"
软件,RCS,,现场紧急充电模式开不起来,现场紧急充电模式开不起来,现场少了一个停车位,在地图编辑里面新增一个停车位
地面车异常,区域急停,,地面车 219169 区域急停,地面车 219169 区域急停 Robot: 219169 has experienced,1.根据镜头发现工作人员放货幅度太大影响到了地面车，导致从工作站回去时转弯幅度不够,"1.调整小车位置重定位；
2.点击已解决恢复；"
参数配置,,,添加面单新规则,添加面单新规则,^AS[0-9]{9}US$,在配置文件里添加  上层下层都添加
波次问题（移除、迁移、关闭）,,,关闭波次异常,美国德马希音B2平台波次L20250727103421266需要关闭，无法成功,wcs上有任务正在执行中,在wcs上强制完成执行中的任务，再在wes网页中正常关闭波次
飞箱异常,料箱脱钩,,飞箱拉箱是脱钩,请解决:拉箱<-地面车飞箱:104041地面车:80079在地面车拉箱失败，箱子脱钩,,读取日志，手动推正小车上的箱子，终止启动，已解决恢复正常
飞箱异常,TOF异常,,飞箱找不到箱子,请解决:拉箱<-货架飞箱:104023 箱位:(A001)15-029货架上看不到箱子,1，可能tof异常检测不到货架上的箱子,读取飞箱日志和tof日志，并点已解决恢复正常
地面车异常,区域急停,,地面车 229020 区域急停,测试数据忽略,,
地面车异常,区域急停,,地面车 228173 区域急停,机器人有充电任务的时候，手动将箱子放到机器人上了，导致机器人带箱充电,,重新摆好箱子，杀死充电线程，让机器人去上箱子
地面车异常,区域急停,,229020、230199 急停101070飞箱异常,"地面车 229020 区域急停 ロボット: 229020 エリアロックが発生しました、座標: 85,20
地面车 230199 区域急停 ロボット: 230199 エリアロックが発生しました、座標: 86,21
飞箱: 101070 故障。问题: 1号电机过温
推箱->地面车  飞箱: 101070 地面车: 228201.......接驳位没有小车",飞箱运行过程中撞击地面车导致急停，且飞箱定位错误,地面车重定位、飞箱回零，重定位后恢复
地面车异常,区域急停,,230221、229010 多车急停,"2025-07-26 10:08:14.767 : 地面车 230221 区域急停 ロボット: 230221 エリアロックが発生しました、座標: 97,18、エラーコード: 21C、説明 TOF障害物回避レーダーが緊急停止触発【地面车 230221】",,尹俊哲帮忙重新定位恢复，中间处理过程中有多次急停
